annee;jourDebut;jourFin;parcelle;couvert;itk;delta_Corg[kg_eqCO2/ha];tx_MO_fin[%];emissions_N2O_denit[kg_eqCO2/ha];emissions_N2O_nit[kg_eqCO2/ha];emissions_volat[kg_eqCO2/ha];emissions_lixiv[kg_eqCO2/ha];emissions_ferti[kg_eqCO2/ha];bilan_net_GES[kg_eqCO2/ha];ratio_Corg_Arg[%]
2018;213;365;174_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;175_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;176_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;177_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;178_001;solnu;;1637.78;0.74;19.55;9.56;0.0;160.07;0.0;1826.96;0.02
2018;213;365;179_001;solnu;;1597.07;0.73;20.49;9.28;0.0;158.86;0.0;1785.7;0.02
2018;213;365;180_001;solnu;;1527.92;0.84;18.09;8.38;0.0;155.41;0.0;1709.79;0.03
2018;213;365;181_001;solnu;;1597.42;0.84;19.21;8.84;0.0;157.27;0.0;1782.74;0.03
2018;213;365;182_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;183_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;184_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;185_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;186_001;solnu;;1527.92;0.84;18.09;8.38;0.0;155.41;0.0;1709.79;0.03
2018;213;365;187_001;solnu;;1597.42;0.84;19.21;8.84;0.0;157.27;0.0;1782.74;0.03
2018;213;365;188_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;189_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;190_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;191_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;192_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;193_001;solnu;;1637.78;0.74;19.55;9.56;0.0;160.07;0.0;1826.96;0.02
2018;213;365;194_001;solnu;;1597.07;0.73;20.49;9.28;0.0;158.86;0.0;1785.7;0.02
2018;213;365;195_001;solnu;;1527.92;0.84;18.09;8.38;0.0;155.41;0.0;1709.79;0.03
2018;213;365;196_001;solnu;;1597.42;0.84;19.21;8.84;0.0;157.27;0.0;1782.74;0.03
2018;213;365;197_001;solnu;;1637.78;0.74;19.55;9.56;0.0;160.07;0.0;1826.96;0.02
2018;213;365;198_001;solnu;;1597.07;0.73;20.49;9.28;0.0;158.86;0.0;1785.7;0.02
2018;213;365;199_001;solnu;;1597.07;0.73;20.49;9.28;0.0;158.86;0.0;1785.7;0.02
2018;213;365;200_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
