idPolygone;date;precipitation;tmin;tmax;etp;rayonnement
1;03/04/2020;0.0;20.03;41.94;6.468590498966849;24.67
1;04/04/2020;0.0;19.76;38.54;7.214617557771155;27.22
1;05/04/2020;0.0;17.43;37.4;6.510091670771063;25.57
1;06/04/2020;0.0;22.86;37.88;6.671895917853862;27.12
1;07/04/2020;0.0;24.49;37.29;5.614822010990679;10.5499152
1;08/04/2020;0.0;25.66;31.78;2.5918246764294914;27.07
1;09/04/2020;0.0;23.63;32.42;3.351357363115139;10.4704974
1;10/04/2020;4.141;21.98;36.32;3.801682281416382;10.5518268
1;11/04/2020;0.0;18.46;38.85;3.743718918413814;24.82
1;12/04/2020;0.0;18.33;38.59;4.4872711475078;24.94
1;13/04/2020;0.0;19.72;35.54;4.462626960505262;24.05
1;14/04/2020;0.0;20.3;37.47;5.342168565212362;21.33
1;15/04/2020;0.0;18.95;38.35;6.578341694115283;26.28
1;16/04/2020;0.0;20.28;39.11;6.8962875675034345;24.24
1;17/04/2020;0.0;19.71;36.07;6.474736442945719;25.95
1;18/04/2020;0.0;19.86;30.84;6.007092990301218;24.62
1;19/04/2020;0.0;18.28;37.26;6.016810716013586;26.08
1;20/04/2020;0.0;19.19;39.67;6.920457511635476;24.84
1;21/04/2020;0.0;21.67;41.46;8.000340855210826;24.24
1;22/04/2020;0.0;21.32;40.52;7.055526586095681;25.94
1;23/04/2020;0.0;19.44;36.32;5.267044764626654;23.66
1;24/04/2020;0.0;18.23;35.57;5.460138529930815;23.91
1;25/04/2020;0.0;18.98;37.9;5.373105889577658;21.72
1;26/04/2020;0.0;21.31;39.5;6.444360351509655;19.84
1;27/04/2020;0.0;22.24;40.77;8.513515960721145;24.0
1;28/04/2020;0.0;22.33;40.72;8.1360410352236;23.72
1;29/04/2020;0.0;22.93;37.35;6.591855110528659;23.06
1;30/04/2020;0.0;21.2;36.59;6.446079796501226;21.2
1;01/05/2020;0.0;15.35;30.23;6.250883763036929;23.09
1;02/05/2020;0.0;16.66;37.29;7.863918716631437;23.81
1;03/05/2020;0.0;18.93;41.5;5.59899012164444;26.32
1;04/05/2020;0.0;19.21;38.19;6.229507868974608;26.97
1;05/05/2020;0.0;18.86;41.63;5.485410397640357;26.76
1;06/05/2020;0.0;22.21;37.1;6.317769263456565;27.23
1;07/05/2020;0.0;26.56;33.22;5.11959042114928;24.82
1;08/05/2020;0.0;19.99;32.01;2.970310865307181;25.01
1;09/05/2020;11.716;23.74;29.79;1.5155301210241177;23.16
1;10/05/2020;4.04;22.93;36.94;3.778634072106805;10.820736
1;11/05/2020;0.0;21.47;36.18;3.577111525482261;23.93
1;12/05/2020;0.0;19.67;38.39;4.707381987546831;23.41
1;13/05/2020;0.0;19.44;39.76;5.664063792119518;25.61
1;14/05/2020;0.0;22.97;42.04;6.229530497214081;25.11
1;15/05/2020;0.0;20.63;40.62;6.151428900733274;25.39
1;16/05/2020;0.0;20.51;41.2;7.005974738751709;25.06
1;17/05/2020;0.0;20.88;42.26;6.570087661727934;25.52
1;18/05/2020;0.0;19.29;43.02;5.643378442781036;24.67
1;19/05/2020;0.0;19.29;37.53;4.923388657350017;24.82
1;20/05/2020;0.0;19.16;37.87;5.482621111176537;25.39
1;21/05/2020;0.0;19.07;39.94;5.298470941051499;26.63
1;22/05/2020;0.0;19.76;40.39;5.605177982666946;26.62
1;23/05/2020;0.0;20.36;40.45;5.090961522509916;25.65
1;24/05/2020;0.0;19.29;40.3;4.808989617299794;26.71
1;25/05/2020;0.0;19.67;40.42;4.842296372929879;24.84
1;26/05/2020;0.0;20.5;42.76;5.032334065758892;26.36
1;27/05/2020;0.0;20.69;35.12;4.29467554716385;25.7
1;28/05/2020;0.0;22.06;38.38;4.871172669281413;10.1360304
1;29/05/2020;0.0;22.77;42.88;5.002729024202485;21.5
1;30/05/2020;0.0;23.01;41.27;4.955899916818931;22.0
1;31/05/2020;0.0;19.99;39.58;5.141738212983603;24.04
1;01/06/2020;0.0;22.83;30.0;6.255355859807037;18.42
1;02/06/2020;0.0;18.01;37.83;7.712805812327125;26.43
1;03/06/2020;0.0;18.32;41.18;6.582286600572369;24.66
1;04/06/2020;0.0;19.4;39.63;6.52846375080357;24.48
1;05/06/2020;0.0;18.15;36.1;4.9207201018443385;24.75
1;06/06/2020;0.0;18.51;36.72;4.366462175321636;19.73
1;07/06/2020;1.919;25.23;36.04;3.242481527962377;25.06
1;08/06/2020;0.0;25.11;34.46;3.785914823804871;20.85
1;09/06/2020;49.191;21.59;28.54;1.661354657025775;23.97
1;10/06/2020;1.515;22.68;36.09;4.021131399800013;12.0167802
1;11/06/2020;0.0;22.21;38.86;3.644544916727391;21.24
1;12/06/2020;0.0;18.76;38.1;4.879331041665747;24.77
1;13/06/2020;8.08;21.77;30.52;1.8747797758027425;13.99
1;14/06/2020;0.0;24.7;37.94;4.191281500781733;21.63
1;15/06/2020;0.0;24.14;37.55;5.20311982585388;22.26
1;16/06/2020;0.0;26.69;37.09;5.034896986775257;19.97
1;17/06/2020;0.0;26.34;36.32;4.616552960480057;20.74
1;18/06/2020;0.0;26.37;37.8;4.120285009616472;18.39
1;19/06/2020;0.0;27.09;33.59;4.623206767114259;18.76
1;20/06/2020;0.0;25.52;36.12;4.692024004355376;23.23
1;21/06/2020;0.0;24.95;39.23;5.586728532360107;24.24
1;22/06/2020;0.0;25.99;35.4;5.23829675679769;20.7
1;23/06/2020;0.0;25.42;35.77;4.941233367632097;22.94
1;24/06/2020;0.0;26.08;40.93;5.352350562155303;10.0705284
1;25/06/2020;0.0;25.68;38.58;4.710877143224757;20.53
1;26/06/2020;0.0;24.84;38.46;5.273070845007013;10.8230778
1;27/06/2020;0.0;24.22;37.32;4.840636687512074;23.15
1;28/06/2020;0.0;24.69;34.74;5.368278210451833;23.49
1;29/06/2020;0.0;24.68;34.36;5.146113344249182;23.43
1;30/06/2020;0.0;23.55;36.38;5.021880940267388;10.186038
1;01/07/2020;0.0;15.61;28.99;6.294992458366861;24.23
1;02/07/2020;0.0;20.04;38.0;7.886361475530696;25.48
1;03/07/2020;0.0;16.96;41.33;5.378100384726196;21.5
