idParcelle;surface [m2];zone_pedo;matIrr
278_001;636.98836251481;dior_cb_avec_arbr;null
279_001;2265.77792829411;dior_cb_sans_arbr;null
280_001;512.69834174213;dior_cb_avec_arbr;null
281_001;1107.30337982746;dior_cb_sans_arbr;null
282_001;550.5520133116399;dekkMbel_cb_avec_arbr;null
283_001;986.0129845512699;dekkMbel_cb_sans_arbr;null
284_001;608.1144831605001;dior_cc_avec_arbr;null
285_001;1307.22269763383;dior_cc_sans_arbr;null
286_001;3869.61088287829;dior_cb_sans_arbr;null
287_001;171.30933019244;dior_cb_avec_arbr;null
288_001;2115.5136630719603;dior_cb_sans_arbr;null
289_001;622.16780202956;dior_cb_avec_arbr;null
290_001;2501.9364039776196;dior_cb_sans_arbr;null
291_001;986.54574475585;dekk_cb_avec_arbr;null
292_001;12492.767218023171;dekk_cb_sans_arbr;null
293_001;1682.59550588348;dekk_cb_avec_arbr;null
294_001;2302.41788279767;dekk_cb_sans_arbr;null
295_001;839.70028755026;dekk_cb_sans_arbr;null
296_001;2382.91131398792;dekk_cb_sans_arbr;null
297_001;2791.00192995719;dekk_cb_avec_arbr;null
298_001;6171.94655662897;dekk_cb_sans_arbr;null
299_001;899.41069642303;dior_cb_avec_arbr;null
300_001;8105.27011064072;dior_cb_sans_arbr;null
301_001;2000.1130282725699;dior_cb_avec_arbr;null
302_001;9296.02907634408;dior_cb_sans_arbr;null
303_001;1077.29999984602;dior_cb_avec_arbr;null
304_001;9731.6004633049;dior_cb_sans_arbr;null
305_001;4908.54024738917;dior_cc_avec_arbr;null
306_001;4102.92907112682;dior_cc_sans_arbr;null
307_001;784.27247166828;dior_cb_sans_arbr;null
308_001;906.462513767;dior_cb_avec_arbr;null
309_001;11655.176299936229;dior_cb_sans_arbr;null
310_001;1143.41231128294;dekk_cb_avec_arbr;null
311_001;9968.19082857835;dekk_cb_sans_arbr;null
312_001;746.63198152962;dekk_cb_avec_arbr;null
313_001;1293.9331143832;dekk_cb_sans_arbr;null
314_001;1304.2291604022798;dekk_cb_avec_arbr;null
315_001;8272.28617930222;dekk_cb_sans_arbr;null
316_001;1200.83534213174;dior_cb_avec_arbr;null
317_001;15732.71463666707;dior_cb_sans_arbr;null
318_001;906.462513767;dior_cb_avec_arbr;null
319_001;10288.55448198788;dior_cb_sans_arbr;null
320_001;790.81457495581;dior_cb_avec_arbr;null
321_001;4414.1509144308;dior_cb_sans_arbr;null
322_001;3233.80384271267;dior_cb_sans_arbr;null
323_001;1075.91794833097;dior_cb_avec_arbr;null
324_001;842.85969392875;dior_cb_sans_arbr;null
